[INFO] Loading MNIST dataset... Done. (Train Batches: 938)
[INFO] Initial Memory: 219.53 MB | Peak Memory: 431.28 MB
[INFO] Model initialized with 693,714 parameters.

[TRAIN] EPOCH 1/5
------------------------------------------------------------
   Step 851/938 ( 90.7%) | Loss: 0.2537 | Grad: 2.26 | Mem: 222.0 MB
   Step 901/938 ( 96.1%) | Loss: 0.0516 | Grad: 0.83 | Mem: 222.0 MB
   Step 938/938 (100.0%) | Loss: 0.0541 | Grad: 1.60 | Mem: 219.8 MB
[EVAL]  Validating...[RESULT] Epoch 3 Finished in 9.78s | Train Loss: 0.0945 | Test Acc: 97.03% | Peak Mem: 431.3 MB

[TRAIN] EPOCH 4/5
------------------------------------------------------------
   Step   1/938 (  0.1%) | Loss: 0.0207 | Grad: 0.53 | Mem: 222.0 MB
   Step  51/938 (  5.4%) | Loss: 0.1522 | Grad: 1.27 | Mem: 222.0 MB
   Step 101/938 ( 10.8%) | Loss: 0.0391 | Grad: 1.13 | Mem: 222.0 MB
   Step 151/938 ( 16.1%) | Loss: 0.0680 | Grad: 1.82 | Mem: 222.0 MB
   Step 201/938 ( 21.4%) | Loss: 0.1354 | Grad: 1.53 | Mem: 222.0 MB
   Step 251/938 ( 26.8%) | Loss: 0.0276 | Grad: 0.57 | Mem: 222.0 MB
   Step 301/938 ( 32.1%) | Loss: 0.0681 | Grad: 1.72 | Mem: 222.0 MB
   Step 351/938 ( 37.4%) | Loss: 0.0380 | Grad: 1.27 | Mem: 222.0 MB
   Step 401/938 ( 42.8%) | Loss: 0.1168 | Grad: 3.04 | Mem: 222.0 MB
   Step 451/938 ( 48.1%) | Loss: 0.0864 | Grad: 1.05 | Mem: 222.0 MB
   Step 501/938 ( 53.4%) | Loss: 0.0678 | Grad: 1.72 | Mem: 222.0 MB
   Step 551/938 ( 58.7%) | Loss: 0.1104 | Grad: 1.89 | Mem: 222.0 MB
   Step 601/938 ( 64.1%) | Loss: 0.0665 | Grad: 1.92 | Mem: 222.0 MB
   Step 651/938 ( 69.4%) | Loss: 0.0596 | Grad: 1.01 | Mem: 222.0 MB
   Step 701/938 ( 74.7%) | Loss: 0.0107 | Grad: 0.30 | Mem: 222.0 MB
   Step 751/938 ( 80.1%) | Loss: 0.0951 | Grad: 1.56 | Mem: 222.0 MB
   Step 801/938 ( 85.4%) | Loss: 0.1152 | Grad: 1.63 | Mem: 222.0 MB
   Step 851/938 ( 90.7%) | Loss: 0.0542 | Grad: 1.03 | Mem: 222.0 MB
   Step 901/938 ( 96.1%) | Loss: 0.2182 | Grad: 2.21 | Mem: 222.0 MB
   Step 938/938 (100.0%) | Loss: 0.2630 | Grad: 3.43 | Mem: 219.9 MB
[EVAL]  Validating...[RESULT] Epoch 4 Finished in 8.84s | Train Loss: 0.0717 | Test Acc: 97.50% | Peak Mem: 431.3 MB

[TRAIN] EPOCH 5/5
------------------------------------------------------------
   Step   1/938 (  0.1%) | Loss: 0.0259 | Grad: 0.69 | Mem: 222.0 MB
   Step  51/938 (  5.4%) | Loss: 0.0836 | Grad: 1.60 | Mem: 222.0 MB
   Step 101/938 ( 10.8%) | Loss: 0.0755 | Grad: 1.63 | Mem: 222.0 MB
   Step 151/938 ( 16.1%) | Loss: 0.0521 | Grad: 1.33 | Mem: 222.0 MB
   Step 201/938 ( 21.4%) | Loss: 0.0657 | Grad: 1.27 | Mem: 222.0 MB
   Step 251/938 ( 26.8%) | Loss: 0.0761 | Grad: 1.14 | Mem: 222.1 MB
   Step 301/938 ( 32.1%) | Loss: 0.0138 | Grad: 0.47 | Mem: 222.1 MB
   Step 351/938 ( 37.4%) | Loss: 0.0671 | Grad: 2.12 | Mem: 222.1 MB
   Step 401/938 ( 42.8%) | Loss: 0.0176 | Grad: 0.73 | Mem: 222.1 MB
   Step 451/938 ( 48.1%) | Loss: 0.1358 | Grad: 1.91 | Mem: 222.1 MB
   Step 501/938 ( 53.4%) | Loss: 0.0242 | Grad: 0.81 | Mem: 222.1 MB
   Step 551/938 ( 58.7%) | Loss: 0.0478 | Grad: 1.09 | Mem: 222.1 MB
   Step 601/938 ( 64.1%) | Loss: 0.0427 | Grad: 0.83 | Mem: 222.1 MB
   Step 651/938 ( 69.4%) | Loss: 0.0475 | Grad: 0.95 | Mem: 222.1 MB
   Step 701/938 ( 74.7%) | Loss: 0.0562 | Grad: 1.35 | Mem: 222.1 MB
   Step 751/938 ( 80.1%) | Loss: 0.0667 | Grad: 1.18 | Mem: 222.1 MB
   Step 801/938 ( 85.4%) | Loss: 0.1433 | Grad: 1.74 | Mem: 222.1 MB
   Step 851/938 ( 90.7%) | Loss: 0.0092 | Grad: 0.15 | Mem: 222.1 MB
   Step 901/938 ( 96.1%) | Loss: 0.0118 | Grad: 0.26 | Mem: 222.1 MB
   Step 938/938 (100.0%) | Loss: 0.0378 | Grad: 2.03 | Mem: 220.0 MB
[EVAL]  Validating...[RESULT] Epoch 5 Finished in 7.74s | Train Loss: 0.0567 | Test Acc: 97.70% | Peak Mem: 431.3 MB

============================================================
[INFO] All training completed in 46.67s

[INFO] Log saved successfully to: ./logs/TorchCNN_grid_demo_k3_c8_h128_Adam_lr0.001_20251213_160126.json
