[INFO] Loading MNIST dataset... Done. (Train Batches: 938)
[INFO] Initial Memory: 219.53 MB | Peak Memory: 431.28 MB
[INFO] Model initialized with 693,714 parameters.

[TRAIN] EPOCH 1/5
------------------------------------------------------------
   Step   1/938 (  0.1%) | Loss: 2.3025 | Grad: 0.14 | Mem: 221.8 MB
   Step  51/938 (  5.4%) | Loss: 0.3259 | Grad: 1.25 | Mem: 221.8 MB
   Step 101/938 ( 10.8%) | Loss: 0.2542 | Grad: 1.28 | Mem: 221.8 MB
   Step 151/938 ( 16.1%) | Loss: 0.1790 | Grad: 1.21 | Mem: 221.8 MB
   Step 201/938 ( 21.4%) | Loss: 0.4159 | Grad: 2.14 | Mem: 221.8 MB
   Step 251/938 ( 26.8%) | Loss: 0.1342 | Grad: 1.39 | Mem: 221.8 MB
   Step 301/938 ( 32.1%) | Loss: 0.0946 | Grad: 0.87 | Mem: 221.8 MB
   Step 351/938 ( 37.4%) | Loss: 0.0932 | Grad: 1.89 | Mem: 221.8 MB
   Step 401/938 ( 42.8%) | Loss: 0.2608 | Grad: 1.21 | Mem: 221.8 MB
   Step 451/938 ( 48.1%) | Loss: 0.2467 | Grad: 1.20 | Mem: 221.8 MB
   Step 501/938 ( 53.4%) | Loss: 0.1234 | Grad: 0.80 | Mem: 221.8 MB
   Step 551/938 ( 58.7%) | Loss: 0.0883 | Grad: 0.56 | Mem: 221.8 MB
   Step 601/938 ( 64.1%) | Loss: 0.0624 | Grad: 0.99 | Mem: 221.8 MB
   Step 651/938 ( 69.4%) | Loss: 0.1515 | Grad: 0.85 | Mem: 221.8 MB
   Step 701/938 ( 74.7%) | Loss: 0.1295 | Grad: 0.91 | Mem: 221.8 MB
   Step 751/938 ( 80.1%) | Loss: 0.0193 | Grad: 0.41 | Mem: 221.8 MB
   Step 801/938 ( 85.4%) | Loss: 0.0709 | Grad: 0.59 | Mem: 221.8 MB
   Step 851/938 ( 90.7%) | Loss: 0.1604 | Grad: 1.44 | Mem: 221.8 MB
   Step 901/938 ( 96.1%) | Loss: 0.1048 | Grad: 0.91 | Mem: 221.8 MB
   Step 938/938 (100.0%) | Loss: 0.0232 | Grad: 0.40 | Mem: 219.7 MB
[EVAL]  Validating...[RESULT] Epoch 1 Finished in 6.50s | Train Loss: 0.1767 | Test Acc: 97.08% | Peak Mem: 431.3 MB

[TRAIN] EPOCH 2/5
------------------------------------------------------------
   Step   1/938 (  0.1%) | Loss: 0.0311 | Grad: 0.48 | Mem: 221.8 MB
   Step  51/938 (  5.4%) | Loss: 0.0735 | Grad: 0.55 | Mem: 221.8 MB
   Step 101/938 ( 10.8%) | Loss: 0.1535 | Grad: 1.07 | Mem: 221.9 MB
   Step 151/938 ( 16.1%) | Loss: 0.0141 | Grad: 0.37 | Mem: 221.9 MB
   Step 201/938 ( 21.4%) | Loss: 0.1859 | Grad: 1.52 | Mem: 221.9 MB
   Step 251/938 ( 26.8%) | Loss: 0.1634 | Grad: 0.74 | Mem: 221.9 MB
   Step 301/938 ( 32.1%) | Loss: 0.0182 | Grad: 0.47 | Mem: 221.9 MB
   Step 351/938 ( 37.4%) | Loss: 0.0115 | Grad: 0.24 | Mem: 221.9 MB
   Step 401/938 ( 42.8%) | Loss: 0.0322 | Grad: 0.45 | Mem: 221.9 MB
